City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kamaishi,39.2667,141.8833,67.17,61,52,3.0,JP,1698198421
83,puerto san jose,13.9256,-90.8244,79.88,87,100,8.46,GT,1698198421
84,franklin,39.9667,-83.0166,69.55,59,100,5.75,US,1698198421
85,victorica,-36.2151,-65.4359,61.74,58,100,3.96,AR,1698198421
86,uturoa,-16.7333,-151.4333,80.65,71,70,12.88,PF,1698198421
87,dul'durga,50.6761,113.5931,34.88,46,46,20.47,RU,1698198421
88,udachny,66.4167,112.4,12.97,96,75,7.85,RU,1698198422
89,ataq,14.5377,46.8319,70.25,68,12,1.34,YE,1698198422
90,newman,37.3138,-121.0208,75.54,60,30,1.01,US,1698198246
91,humberto de campos,-2.5983,-43.4611,77.85,79,96,7.52,BR,1698198423
92,mitu,1.1983,-70.1733,74.41,97,100,2.89,CO,1698198357
93,dunedin,-45.8742,170.5036,62.19,63,100,11.03,NZ,1698198423
94,east london,-33.0153,27.9116,60.53,67,4,12.03,ZA,1698198423
95,zhezqazghan,47.7833,67.7667,28.98,86,0,11.18,KZ,1698198370
96,ilulissat,69.2167,-51.1,26.62,59,100,13.8,GL,1698198241
97,tacna,-18.0056,-70.2483,59.2,82,100,5.75,PE,1698198423
98,howard springs,-12.497,131.047,93.11,64,3,5.88,AU,1698198424
99,ghadamis,30.1337,9.5007,81.52,17,82,9.86,LY,1698198424
100,paoua,7.2427,16.4406,71.11,91,99,3.71,CF,1698198424
101,yashkul',46.1711,45.3435,55.99,57,100,5.99,RU,1698198424
102,dudinka,69.4058,86.1778,20.62,97,100,4.0,RU,1698198424
103,sorong,-0.8833,131.25,83.39,70,100,15.79,ID,1698198424
104,whitehorse,60.7161,-135.0538,21.09,62,75,5.75,CA,1698198425
105,clearwater,27.9659,-82.8001,76.98,70,0,16.11,US,1698198308
106,invercargill,-46.4,168.35,65.01,63,99,8.01,NZ,1698198425
107,yellowknife,62.456,-114.3525,23.56,80,100,9.22,CA,1698198243
108,hithadhoo,-0.6,73.0833,81.36,82,17,16.98,MV,1698198426
109,shemysheyka,52.892,45.3928,30.04,86,43,7.81,RU,1698198426
110,el alto,-4.2714,-81.2147,67.66,87,100,15.77,PE,1698198426
111,cabo san lucas,22.8909,-109.9124,78.62,68,0,12.66,MX,1698198147
112,cockburn town,21.4612,-71.1419,82.99,74,41,22.55,TC,1698198426
113,papatowai,-46.5619,169.4708,65.05,53,100,4.32,NZ,1698198427
114,kol'chugino,56.3,39.3833,27.91,87,7,3.74,RU,1698198427
115,khandyga,62.6667,135.6,12.07,90,90,2.8,RU,1698198427
116,belyy yar,53.6039,91.3903,39.09,70,0,17.9,RU,1698198427
117,bethel,41.3712,-73.414,57.65,82,0,5.75,US,1698198427
118,iskateley,67.6803,53.1512,23.02,82,95,10.0,RU,1698198270
119,georgetown,5.4112,100.3354,83.95,84,20,5.01,MY,1698198427
120,mazagao,-0.115,-51.2894,84.25,76,63,5.66,BR,1698198428
121,nar'yan-mar,67.6713,53.087,23.11,82,93,10.0,RU,1698198428
122,roma,43.2128,-75.4557,59.86,65,0,6.91,US,1698198280
123,yuzhno-kurilsk,44.0306,145.8556,56.37,69,11,12.12,RU,1698198428
124,ruidoso,33.3317,-105.673,51.96,79,100,6.91,US,1698198428
125,colonia,50.9333,6.95,49.28,91,0,5.75,DE,1698198131
126,nouadhibou,20.931,-17.0347,73.44,79,31,17.9,MR,1698198428
127,kovdor,67.5662,30.4758,12.58,98,67,2.28,RU,1698198428
128,horasan,40.0458,42.1728,48.85,68,98,3.76,TR,1698198429
129,holbrook,40.8123,-73.0784,59.68,87,40,6.91,US,1698198429
130,klyuchi,52.2667,79.1667,42.44,41,100,16.26,RU,1698198430
131,tanout,14.9709,8.8879,77.14,13,98,9.35,NE,1698198430
132,mangai,-4.05,19.5333,66.58,99,99,1.54,CD,1698198430
133,constantia,44.1833,28.65,57.88,77,100,13.15,RO,1698198430
134,zima,53.9202,102.0442,31.87,54,99,9.98,RU,1698198430
135,mahina,-17.5065,-149.489,83.97,70,75,14.97,PF,1698198430
136,lulea,65.5842,22.1547,26.67,93,100,1.14,SE,1698198304
137,alice springs,-23.7,133.8833,72.95,25,89,16.11,AU,1698198431
138,nabire,-3.3667,135.4833,87.89,58,36,4.76,ID,1698198431
139,sen monorom,12.45,107.2,77.02,77,33,1.92,KH,1698198431
140,opuwo,-18.0607,13.84,70.0,31,10,3.78,NA,1698198431
141,ibipeba,-11.6408,-42.0111,77.4,53,78,4.63,BR,1698198431
142,anadyr,64.75,177.4833,39.0,86,40,13.0,RU,1698198236
143,bonthe,7.5264,-12.505,77.29,87,100,0.36,SL,1698198432
144,talnakh,69.4865,88.3972,20.21,96,100,2.04,RU,1698198432
145,quellon,-43.1167,-73.6167,43.65,88,10,7.27,CL,1698198432
